,battery_power,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,n_cores,price_range,processor
0,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
1,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
2,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.51,16.51,True,True,True,,695.0,"₹11,999",Snapdragon 695 5G Processor
3,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.25,17.25,True,True,True,,,"₹9,999",
4,5000.0,True,50.0,True,128.0,,,,,,6144.0,17.25,17.25,True,True,True,,,"₹9,999",
5,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹6,799",
6,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹11,990",
7,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹6,799",
8,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹7,699",
9,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹7,699",
10,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹6,799",
11,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹11,990",
12,6000.0,True,50.0,True,128.0,,,,,,6144.0,16.76,16.76,True,True,True,,,"₹11,990",
13,5000.0,True,,True,64.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹6,999",
14,5000.0,True,,True,256.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹19,010",
15,5000.0,True,,True,256.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹19,044",
16,6000.0,True,50.0,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹8,999",
17,5000.0,True,,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹16,989",
18,5000.0,True,,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹16,998",
19,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.64,16.64,True,True,True,,,"₹20,999",
20,6000.0,True,50.0,True,128.0,,,,,,8192.0,16.76,16.76,True,True,True,,,"₹8,999",
21,5000.0,True,50.0,True,128.0,,,,,,8192.0,16.64,16.64,True,True,True,,,"₹20,999",
22,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹8,249",
23,5000.0,True,,True,128.0,,,,,,6144.0,17.12,17.12,True,True,True,,,"₹9,999",
24,5000.0,True,,True,128.0,,,,,,8192.0,17.07,17.07,True,True,True,,,"₹11,999",
25,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹11,999",
26,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹11,999",
27,5000.0,True,,True,128.0,,,,,,4096.0,17.12,17.12,True,True,True,,,"₹9,999",
28,5000.0,True,,True,256.0,,,,,,8192.0,17.12,17.12,True,True,True,,,"₹9,999",
29,5000.0,True,,True,128.0,,,,,,6144.0,17.04,17.04,True,True,True,,,"₹6,799",
30,6000.0,True,50.0,True,128.0,,,,,,4096.0,16.76,16.76,True,True,True,,,"₹11,990",
31,4500.0,True,13.0,True,256.0,,,,,,8192.0,17.02,17.02,True,True,True,,,"₹6,799",
32,,True,48.0,True,128.0,,,,,,,15.49,15.49,True,True,True,,,"₹7,699",
